Rep #,Time (hours),"Diameter (mm), 2s","Diameter (mm), 1s","Diameter (mm), p5s"
1,0,25.72,23.24,14.53
1,1,35.5,25.04,14.23
1,2,37.97,31.89,20.04
1,3,37.24,33.6,20.32
1,4,36.42,41.4,24.83
1,5,45.82,48.23,27.54
1,6,51.06,47.87,34.08
1,7,50.42,53.21,34.76
1,8,54.97,61.91,37.7
1,9,61.69,65.01,42.91
1,10,61.43,68.85,51.24
1,11,66.5,67.69,55.77
1,12,67.9,72.28,79.46
1,13,69.53,71.87,65.84
1,14,75.04,70.7,67.94
1,15,72.05,73.71,68.15
1,16,74.63,74.09,68.56
1,17,79.08,74.35,68.22
1,18,78.35,77.97,71.77
1,19,85.47,73.16,78.09
1,20,85.46,73.42,75.74
1,85.47,73.16,78.09,
1,85.46,73.42,75.74,
2,0,14.53,23.84,21.83
2,1,14.23,34.5,31.4
2,2,20.04,40.54,28.64
2,3,20.32,45.68,36.08
2,4,24.83,48.23,43.14
2,5,27.54,50.33,44.62
2,6,34.08,55.02,49.55
2,7,34.76,56.92,52.38
2,8,37.7,53.9,58.56
2,9,42.91,60.34,61.79
2,10,51.24,55.39,64.04
2,11,55.77,62.17,67.12
2,12,65.77,68.75,68.85
2,13,65.84,76.63,70.41
2,14,67.94,80.1,73.31
2,15,68.15,79.41,75.24
2,16,68.56,81.93,79
2,17,68.22,84.54,83.11
2,18,71.77,80.87,83.91
2,19,78.09,86.95,87.26
2,20,75.74,87.85,87.28
3,0,24.28,25.13,n/a
3,1,31.03,29.01,19.48
3,2,38.43,37.36,20.31
3,3,42.79,46.01,31.58
3,4,47.27,47.98,40.06
3,5,51.19,56.23,39.31
3,6,57.38,56.59,45.29
3,7,58.33,57.98,46.5
3,8,58.72,60.01,57.46
3,9,64.3,71.47,59.298
3,10,66.34,72.51,61.76
3,11,68.65,72.12,60.19
3,12,69.44,73.22,63.33
3,13,70.96,73.66,67.54
3,14,72.47,75.02,69.66
3,15,76.6,78.67,72.43
3,16,76.17,77.64,71.74
3,17,84.67,81.09,73.5
3,18,85.73,82.74,79.13
3,19,88.2,87.38,79.64
3,20,88.7,85.47,84.21
