Rep #,Time (hours),"Diameter (mm), 2s","Diameter (mm), 1s","Diameter (mm), p5s"
1,0,40.2,40,25.06
1,1,44.82,43.91,31.92
1,2,48.21,49.32,37.95
1,3,52.75,52.73,46.35
1,4,54.07,57.92,49.34
1,5,54.42,61.85,52.15
1,6,61.51,63.5,55.83
1,7,63.42,65.66,61.63
1,8,64.99,68.58,65.38
1,9,65.85,70.12,66.17
1,10,67.87,73.22,68.27
1,11,68.22,74.61,71.9
1,12,67.11,76.59,73.4
1,13,71.72,77.26,75.4
1,14,74.58,79.25,83.68
1,15,77.12,80.37,84.68
1,16,80.31,82.3,86.7
1,17,81.82,81.88,91
1,18,81.94,86.15,92.6
1,19,93.54,87.29,91.44
1,20,94.23,87.33,93.82
2,0,45.19,41.82,40.19
2,1,48.37,51.89,40.75
2,2,51.28,54.61,52.53
2,3,55.25,56.19,52.88
2,4,58.75,57.76,59.69
2,5,58.41,63.06,61.21
2,6,65.68,64.77,64.32
2,7,66.23,65.88,67.74
2,8,68.64,64.29,70.23
2,9,71.84,67.24,74.24
2,10,72.06,68.57,73.99
2,11,74.93,69.62,76.87
2,12,76.75,73.43,78.69
2,13,75.81,75.63,79.11
2,14,79.37,80.2,78.67
2,15,81.38,80.61,80.05
2,16,84.92,80.84,80.51
2,17,89.74,79.12,80
2,18,corrupted,87.95,80.01
2,19,89.98,90.25,79.93
2,20,91.2,93.07,82.41
3,0,40.04,40.81,
3,1,44.49,46.18,
3,2,44.55,51.67,
3,3,51.18,50.03,
3,4,52.99,55.23,
3,5,56.95,61.55,
3,6,64.22,67.79,
3,7,65.97,68.31,
3,8,66.11,66.27,
3,9,67.11,69.18,
3,10,70.29,71.13,
3,11,75.92,72.42,
3,12,79.38,75.35,
3,13,80.03,76.67,
3,14,82.19,83.83,
3,15,82.56,82.06,
3,16,82.18,82.89,
3,17,84.67,84.04,
3,18,86.28,83.44,
3,19,92.63,88.56,
3,20,94.66,91.08,
